Team,Opponent,Year,Date,W/L,W%,SRS,EXP,PTS,REB,AST,STL,BLK,TOV,TS%,3P%
Arkansas,Vermont,2022,2022-03-17,1,-0.091,8.46,-0.47,4.3,8.1,5.7,5.2,4.5,-3.2,-0.023,-0.041
Arkansas,New Mexico State,2022,2022-03-19,1,-0.055,9.16,0.07,3.6,5.2,3.2,2.2,2.9,-0.5,0.001,-0.002
Arkansas,Gonzaga,2022,2022-03-24,1,-0.139,-9.19,0.56,-4.6,3.3,2.8,1.8,1.6,-1.7,-0.010,-0.024
Arkansas,Duke,2022,2022-03-26,0,-0.066,-3.28,0.50,-1.8,2.2,0.5,1.1,0.7,-3.0,-0.014,-0.029
Auburn,Jacksonville State,2022,2022-03-18,1,0.166,19.39,-0.05,2.4,3.8,0.8,1.1,2.7,-0.9,-0.031,-0.045
Auburn,Miami (FL),2022,2022-03-20,0,0.147,7.98,-0.35,0.5,0.9,-1.9,0.1,0.7,-1.6,-0.043,-0.028
Baylor,Norfolk State,2022,2022-03-17,1,0.013,25.64,-0.43,1.2,1.7,1.7,1.3,-0.1,-0.3,0.014,0.005
Baylor,North Carolina,2022,2022-03-19,0,0.094,6.23,-0.04,-4.1,-1.4,-2.1,-2.5,-3.7,-3.5,-0.001,-0.025
Boise State,Memphis,2022,2022-03-17,0,0.117,-2.74,0.77,-7.2,-2.7,-4.7,-5.3,-3.8,2.6,-0.005,-0.001
Cal State Fullerton,Duke,2022,2022-03-18,0,-0.146,-19.59,0.66,-5.7,-0.9,-1.7,0.0,-1.3,-2.5,0.000,0.010
Chattanooga,Illinois,2022,2022-03-18,0,0.084,-10.57,0.26,-1.5,0.1,-0.1,-1.1,-1.8,-0.2,0.011,-0.019
Colgate,Wisconsin,2022,2022-03-18,0,-0.098,-12.15,1.01,3.4,1.2,3.3,1.2,0.7,-1.1,0.026,0.054
Colorado State,Michigan,2022,2022-03-17,0,0.285,-2.75,0.36,-1.3,-1.0,-0.1,-1.2,-1.8,-0.5,0.016,0.011
Connecticut,New Mexico State,2022,2022-03-17,0,-0.094,9.29,-0.20,1.5,5.0,1.8,-0.1,2.5,1.0,-0.009,0.037
Creighton,San Diego State,2022,2022-03-17,1,-0.075,-1.79,-0.99,6.1,6.7,5.6,4.0,4.8,1.3,0.009,-0.015
Creighton,Kansas,2022,2022-03-19,0,-0.157,-10.94,-0.78,-4.9,2.1,0.3,-0.9,0.1,0.0,-0.024,-0.017
Davidson,Michigan State,2022,2022-03-18,0,0.171,-2.75,0.07,0.1,-0.9,-0.7,-2.4,-1.9,1.2,0.026,0.014
Delaware,Villanova,2022,2022-03-18,0,-0.141,-18.99,-0.21,4.6,3.7,4.4,4.8,3.9,-1.8,0.019,0.017
Duke,Cal State Fullerton,2022,2022-03-18,1,0.146,19.59,-0.66,5.7,3.6,2.3,0.8,1.8,2.5,0.000,-0.010
Duke,Michigan State,2022,2022-03-20,1,0.176,6.37,-0.23,3.3,2.0,1.2,-0.5,0.5,1.1,0.005,-0.004
Duke,Texas Tech,2022,2022-03-24,1,0.088,-0.53,-0.74,7.6,7.4,6.3,3.4,5.0,4.2,0.012,0.025
Duke,Arkansas,2022,2022-03-26,1,0.066,3.28,-0.50,1.8,1.3,1.8,-0.3,0.8,3.0,0.014,0.029
Duke,North Carolina,2022,2022-04-02,0,0.105,4.05,-0.05,-0.7,0.8,0.1,-1.8,-0.8,0.2,0.006,-0.005
Georgia State,Gonzaga,2022,2022-03-17,0,-0.254,-26.57,0.21,-8.5,1.8,1.4,1.1,0.5,-2.2,-0.028,0.011
Gonzaga,Georgia State,2022,2022-03-17,1,0.254,26.57,-0.21,8.5,3.0,2.8,0.4,1.4,2.2,0.028,-0.011
Gonzaga,Memphis,2022,2022-03-19,1,0.219,10.79,-0.04,5.0,3.6,1.4,-2.5,0.1,3.5,0.005,0.000
Gonzaga,Arkansas,2022,2022-03-24,0,0.139,9.19,-0.56,4.6,2.5,1.8,-1.1,0.1,1.7,0.010,0.024
Houston,Alabama Birmingham,2022,2022-03-18,1,0.059,11.65,-0.13,-6.7,-1.3,-1.4,-2.7,-3.2,1.0,-0.020,-0.038
Houston,Illinois,2022,2022-03-20,1,0.143,5.86,-0.05,-4.0,-1.2,-1.2,-3.5,-3.1,-1.2,-0.009,-0.027
Houston,Arizona,2022,2022-03-24,1,-0.059,-0.20,0.40,-9.3,-2.1,-2.5,-4.1,-3.5,0.5,-0.014,-0.027
Houston,Villanova,2022,2022-03-26,0,0.065,3.24,-0.46,-0.4,1.2,0.5,-0.3,-1.1,-1.8,-0.017,-0.021
Illinois,Chattanooga,2022,2022-03-18,1,-0.084,10.57,-0.26,1.5,5.1,3.7,1.2,1.2,0.2,-0.011,0.019
Illinois,Houston,2022,2022-03-20,0,-0.143,-5.86,0.05,4.0,7.5,6.4,3.9,4.6,1.2,0.009,0.027
Indiana,Saint Mary's (CA),2022,2022-03-17,0,-0.164,-2.11,0.09,3.3,6.1,5.9,2.6,3.7,-0.1,-0.008,-0.015
Iowa,Richmond,2022,2022-03-17,1,0.086,11.83,-0.82,7.5,2.3,3.1,2.4,2.0,-0.1,0.009,0.010
Iowa State,Louisiana State,2022,2022-03-18,1,-0.042,-5.07,1.18,-4.0,-1.6,1.2,0.2,-0.6,1.1,0.006,0.003
Iowa State,Wisconsin,2022,2022-03-20,1,-0.149,-0.75,0.92,-3.9,-3.0,-0.1,0.1,-1.9,-5.2,0.002,-0.014
Iowa State,Miami (FL),2022,2022-03-25,0,-0.072,1.16,0.18,-8.1,-5.5,-4.2,-2.3,-4.1,-3.5,-0.036,-0.040
Jacksonville State,Auburn,2022,2022-03-18,0,-0.166,-19.39,0.05,-2.4,0.1,1.6,-0.6,-0.5,0.9,0.031,0.045
Kansas,Texas Southern,2022,2022-03-17,1,0.211,25.58,-0.73,5.2,2.2,2.6,-0.3,1.5,1.1,0.031,0.021
Kansas,Creighton,2022,2022-03-19,1,0.157,10.94,0.78,4.9,1.5,2.5,0.2,0.8,0.0,0.024,0.017
Kansas,Providence,2022,2022-03-25,1,-0.010,9.20,-0.14,3.9,2.3,2.6,0.8,0.8,-1.5,0.013,0.008
Kansas,Miami (FL),2022,2022-03-27,1,0.127,11.06,-0.14,0.6,-0.3,-1.5,-1.0,-1.1,-0.7,-0.024,-0.013
Kansas,Villanova,2022,2022-04-02,1,0.036,2.97,-0.22,5.6,4.9,4.3,3.1,2.7,-1.6,-0.002,-0.004
Kansas,North Carolina,2022,2022-04-04,1,0.105,6.78,0.39,-1.8,0.6,-0.8,-2.2,-1.7,-1.7,-0.001,-0.018
Kentucky,Saint Peter's,2022,2022-03-17,0,0.155,17.94,-0.17,8.3,5.2,4.6,2.0,1.7,1.7,0.023,0.007
Longwood,Tennessee,2022,2022-03-17,0,0.025,-20.81,0.15,2.6,3.1,2.7,2.1,1.3,0.9,0.026,0.013
Louisiana State,Iowa State,2022,2022-03-18,0,0.042,5.07,-1.18,4.0,2.3,1.0,2.3,0.6,-1.1,-0.006,-0.003
Loyola (IL),Ohio State,2022,2022-03-18,0,0.148,-0.78,0.00,-3.1,-2.2,-1.4,-2.8,-3.2,-2.2,-0.001,-0.008
Marquette,North Carolina,2022,2022-03-17,0,-0.106,-4.14,-0.75,-1.8,1.2,1.8,0.8,1.0,-2.4,-0.005,-0.016
Memphis,Boise State,2022,2022-03-17,1,-0.117,2.74,-0.77,7.2,8.1,6.7,5.3,5.0,-2.6,0.005,0.001
Memphis,Gonzaga,2022,2022-03-19,0,-0.219,-10.79,0.04,-5.0,3.8,3.8,2.2,2.3,-3.5,-0.005,0.000
Miami (FL),Southern California,2022,2022-03-18,1,-0.091,-1.28,0.25,3.0,0.6,3.3,3.4,2.1,-0.7,0.046,-0.002
Miami (FL),Auburn,2022,2022-03-20,1,-0.147,-7.98,0.35,-0.5,-1.4,3.1,2.3,1.3,1.6,0.043,0.028
Miami (FL),Iowa State,2022,2022-03-25,1,0.072,-1.16,-0.18,8.1,2.6,5.2,4.8,3.6,3.5,0.036,0.040
